date,wiki_id,popular,test_group,n_pages,view_total,view_median
2018-11-15,pl.wikipedia,yes,treatment,63,219578,2156
2018-11-16,bg.wikipedia,no,control,124175,212527,2
2018-11-16,bg.wikipedia,no,treatment,124191,211936,2
2018-11-16,bg.wikipedia,yes,control,55,75322,540
2018-11-16,bg.wikipedia,yes,treatment,45,18961,321
2018-11-16,en.wikipedia,no,control,2895918,46800477,4
2018-11-16,en.wikipedia,no,treatment,2886538,46699645,4
2018-11-16,en.wikipedia,yes,control,41,1768968,30719
2018-11-16,en.wikipedia,yes,treatment,59,3060547,27835
2018-11-16,es.wikipedia,no,control,723252,9561486,4
2018-11-16,es.wikipedia,no,treatment,725228,10050659,4
2018-11-16,es.wikipedia,yes,control,45,694606,8109
2018-11-16,es.wikipedia,yes,treatment,55,443936,7276
2018-11-16,pl.wikipedia,no,control,652956,1893135,2
2018-11-16,pl.wikipedia,no,treatment,661529,2265530,3
2018-11-16,pl.wikipedia,yes,control,35,81715,1761
2018-11-16,pl.wikipedia,yes,treatment,65,178456,1763
2018-11-17,bg.wikipedia,no,control,124186,207014,2
2018-11-17,bg.wikipedia,no,treatment,124180,199914,2
2018-11-17,bg.wikipedia,yes,control,44,19162,292
2018-11-17,bg.wikipedia,yes,treatment,56,29857,329.5
2018-11-17,en.wikipedia,no,control,2895910,44108487,4
2018-11-17,en.wikipedia,no,treatment,2886546,44153915,4
2018-11-17,en.wikipedia,yes,control,49,2007362,28796
2018-11-17,en.wikipedia,yes,treatment,51,1882074,26655
2018-11-17,es.wikipedia,no,control,723254,7777046,4
2018-11-17,es.wikipedia,no,treatment,725226,8186938,4
2018-11-17,es.wikipedia,yes,control,43,552996,7755
2018-11-17,es.wikipedia,yes,treatment,57,482322,5778
2018-11-17,pl.wikipedia,no,control,652956,1901222,2
2018-11-17,pl.wikipedia,no,treatment,661529,2246310,3
2018-11-17,pl.wikipedia,yes,control,35,105487,2246
2018-11-17,pl.wikipedia,yes,treatment,65,208029,2517
2018-11-18,bg.wikipedia,no,control,124186,242320,2
2018-11-18,bg.wikipedia,no,treatment,124180,233861,2
2018-11-18,bg.wikipedia,yes,control,44,22700,356.5
2018-11-18,bg.wikipedia,yes,treatment,56,27837,378.5
2018-11-18,en.wikipedia,no,control,2895909,48947790,4
2018-11-18,en.wikipedia,no,treatment,2886547,48850423,4
2018-11-18,en.wikipedia,yes,control,50,2314918,31842
2018-11-18,en.wikipedia,yes,treatment,50,2453062,37518
2018-11-18,es.wikipedia,no,control,723251,8996677,4
2018-11-18,es.wikipedia,no,treatment,725229,9482309,4
2018-11-18,es.wikipedia,yes,control,46,687042,8593.5
2018-11-18,es.wikipedia,yes,treatment,54,545536,7443
2018-11-18,pl.wikipedia,no,control,652950,2449583,3
2018-11-18,pl.wikipedia,no,treatment,661535,2963665,3
2018-11-18,pl.wikipedia,yes,control,41,134804,2577
2018-11-18,pl.wikipedia,yes,treatment,59,220336,2722
2018-11-19,bg.wikipedia,no,control,124186,245885,3
2018-11-19,bg.wikipedia,no,treatment,124180,241921,2
2018-11-19,bg.wikipedia,yes,control,44,25503,430.5
2018-11-19,bg.wikipedia,yes,treatment,56,31235,387
2018-11-19,en.wikipedia,no,control,2895910,50867104,4
2018-11-19,en.wikipedia,no,treatment,2886546,50770613,4
2018-11-19,en.wikipedia,yes,control,49,2151004,34443
2018-11-19,en.wikipedia,yes,treatment,51,2408747,33878
2018-11-19,es.wikipedia,no,control,723254,10450512,4
2018-11-19,es.wikipedia,no,treatment,725226,10962469,4
2018-11-19,es.wikipedia,yes,control,43,685622,10568
2018-11-19,es.wikipedia,yes,treatment,57,616497,7746
2018-11-19,pl.wikipedia,no,control,652951,2290953,3
2018-11-19,pl.wikipedia,no,treatment,661534,2786213,3
2018-11-19,pl.wikipedia,yes,control,40,98866,1982.5
2018-11-19,pl.wikipedia,yes,treatment,60,170494,1869
2018-11-20,bg.wikipedia,no,control,124188,251533,3
2018-11-20,bg.wikipedia,no,treatment,124178,246916,2
2018-11-20,bg.wikipedia,yes,control,42,25539,403.5
2018-11-20,bg.wikipedia,yes,treatment,58,45911,413
2018-11-20,en.wikipedia,no,control,2895910,49342543,4
2018-11-20,en.wikipedia,no,treatment,2886546,49057926,4
2018-11-20,en.wikipedia,yes,control,49,2664342,39395
2018-11-20,en.wikipedia,yes,treatment,51,2233815,30085
2018-11-20,es.wikipedia,no,control,723253,11225636,4
2018-11-20,es.wikipedia,no,treatment,725227,11863013,5
2018-11-20,es.wikipedia,yes,control,44,638343,8488
2018-11-20,es.wikipedia,yes,treatment,56,574189,8508.5
2018-11-20,pl.wikipedia,no,control,652953,2260593,3
2018-11-20,pl.wikipedia,no,treatment,661532,2756883,3
2018-11-20,pl.wikipedia,yes,control,38,153627,2267
2018-11-20,pl.wikipedia,yes,treatment,62,180425,2011
2018-11-21,bg.wikipedia,no,control,124188,250004,3
2018-11-21,bg.wikipedia,no,treatment,124178,244188,3
2018-11-21,bg.wikipedia,yes,control,42,25764,455
2018-11-21,bg.wikipedia,yes,treatment,58,46836,451
2018-11-21,en.wikipedia,no,control,2895909,47494196,4
2018-11-21,en.wikipedia,no,treatment,2886547,47325756,4
2018-11-21,en.wikipedia,yes,control,50,2555197,30510
2018-11-21,en.wikipedia,yes,treatment,50,1953209,27755.5
2018-11-21,es.wikipedia,no,control,723249,11295191,4
2018-11-21,es.wikipedia,no,treatment,725231,11918327,5
2018-11-21,es.wikipedia,yes,control,48,611269,8753.5
2018-11-21,es.wikipedia,yes,treatment,52,569296,8160
2018-11-21,pl.wikipedia,no,control,652947,2222110,3
2018-11-21,pl.wikipedia,no,treatment,661538,2691317,3
2018-11-21,pl.wikipedia,yes,control,44,165518,2178.5
2018-11-21,pl.wikipedia,yes,treatment,56,148622,1878.5
2018-11-22,bg.wikipedia,no,control,124184,242490,2
2018-11-22,bg.wikipedia,no,treatment,124182,235047,2
2018-11-22,bg.wikipedia,yes,control,46,32278,476
2018-11-22,bg.wikipedia,yes,treatment,54,26463,368
2018-11-22,en.wikipedia,no,control,2895906,46186203,4
2018-11-22,en.wikipedia,no,treatment,2886550,46011365,4
2018-11-22,en.wikipedia,yes,control,53,3328127,38094
2018-11-22,en.wikipedia,yes,treatment,47,2133502,31392
2018-11-22,es.wikipedia,no,control,723245,11013478,4
2018-11-22,es.wikipedia,no,treatment,725235,11649205,5
2018-11-22,es.wikipedia,yes,control,52,569078,7704.5
2018-11-22,es.wikipedia,yes,treatment,48,663857,8116
2018-11-22,pl.wikipedia,no,control,652952,2161866,3
2018-11-22,pl.wikipedia,no,treatment,661533,2617868,3
2018-11-22,pl.wikipedia,yes,control,39,138249,1881
2018-11-22,pl.wikipedia,yes,treatment,61,173217,1856
2018-11-23,bg.wikipedia,no,control,124178,203201,2
2018-11-23,bg.wikipedia,no,treatment,124188,200988,2
2018-11-23,bg.wikipedia,yes,control,52,23423,303.5
2018-11-23,bg.wikipedia,yes,treatment,48,28598,371.5
2018-11-23,en.wikipedia,no,control,2895907,44629866,4
2018-11-23,en.wikipedia,no,treatment,2886549,44309469,4
2018-11-23,en.wikipedia,yes,control,52,2863616,31064.5
2018-11-23,en.wikipedia,yes,treatment,48,1946937,28459
2018-11-23,es.wikipedia,no,control,723253,9355664,4
2018-11-23,es.wikipedia,no,treatment,725227,9840602,4
2018-11-23,es.wikipedia,yes,control,44,423347,6850
2018-11-23,es.wikipedia,yes,treatment,56,633891,6717.5
2018-11-23,pl.wikipedia,no,control,652952,1823083,2
2018-11-23,pl.wikipedia,no,treatment,661533,2169596,3
2018-11-23,pl.wikipedia,yes,control,39,119038,1886
2018-11-23,pl.wikipedia,yes,treatment,61,143894,1500
2018-11-24,bg.wikipedia,no,control,124181,202696,2
2018-11-24,bg.wikipedia,no,treatment,124185,197409,2
2018-11-24,bg.wikipedia,yes,control,49,25762,395
2018-11-24,bg.wikipedia,yes,treatment,51,20987,293
2018-11-24,en.wikipedia,no,control,2895900,45655150,4
2018-11-24,en.wikipedia,no,treatment,2886556,45489190,4
2018-11-24,en.wikipedia,yes,control,59,2936453,31029
2018-11-24,en.wikipedia,yes,treatment,41,1662748,30390
2018-11-24,es.wikipedia,no,control,723251,7670699,4
2018-11-24,es.wikipedia,no,treatment,725229,8037546,4
2018-11-24,es.wikipedia,yes,control,46,497806,6725
2018-11-24,es.wikipedia,yes,treatment,54,494351,6046
2018-11-24,pl.wikipedia,no,control,652953,1887799,2
2018-11-24,pl.wikipedia,no,treatment,661532,2222887,3
2018-11-24,pl.wikipedia,yes,control,38,129646,2085
2018-11-24,pl.wikipedia,yes,treatment,62,160126,1835.5
2018-11-25,bg.wikipedia,no,control,124182,236632,2
2018-11-25,bg.wikipedia,no,treatment,124184,231265,2
2018-11-25,bg.wikipedia,yes,control,48,22803,379
2018-11-25,bg.wikipedia,yes,treatment,52,24330,404
2018-11-25,en.wikipedia,no,control,2895895,50172158,4
2018-11-25,en.wikipedia,no,treatment,2886561,49854288,4
2018-11-25,en.wikipedia,yes,control,64,2999320,36377.5
2018-11-25,en.wikipedia,yes,treatment,36,1443074,29723
2018-11-25,es.wikipedia,no,control,723252,9121836,4
2018-11-25,es.wikipedia,no,treatment,725228,9600893,4
2018-11-25,es.wikipedia,yes,control,45,571712,9102
2018-11-25,es.wikipedia,yes,treatment,55,537124,7372
2018-11-25,pl.wikipedia,no,control,652952,2324674,3
2018-11-25,pl.wikipedia,no,treatment,661533,2804671,3
2018-11-25,pl.wikipedia,yes,control,39,134326,2146
2018-11-25,pl.wikipedia,yes,treatment,61,243763,2423
2018-11-26,bg.wikipedia,no,control,124183,248967,3
2018-11-26,bg.wikipedia,no,treatment,124183,248363,3
2018-11-26,bg.wikipedia,yes,control,47,28857,468
2018-11-26,bg.wikipedia,yes,treatment,53,32469,432
2018-11-26,en.wikipedia,no,control,2895898,52309098,4
2018-11-26,en.wikipedia,no,treatment,2886558,52066661,4
2018-11-26,en.wikipedia,yes,control,61,2494124,30123
